0.000000000000000000e+00	4.709576562500000000e+04	1.927996337890625000e+03	1.432570068359375000e+03	3.783577148437500000e+03
7.070706784725189209e-02	2.474414375000000000e+05	4.755021093750000000e+04	2.905973632812500000e+04	2.881959960937500000e+04
1.414141356945037842e-01	4.395332187500000000e+05	9.147649218750000000e+04	2.844945703125000000e+04	2.065359570312500000e+04
2.121212184429168701e-01	1.083640125000000000e+06	1.438226093750000000e+05	2.758901562500000000e+04	2.090980273437500000e+04
2.828282713890075684e-01	2.650104500000000000e+06	1.075117187500000000e+05	2.701478710937500000e+04	2.334168164062500000e+04
3.535353541374206543e-01	7.480333500000000000e+06	1.211996484375000000e+05	3.452968750000000000e+04	3.212311328125000000e+04
4.242424368858337402e-01	6.775272500000000000e+06	2.268396406250000000e+05	4.229155468750000000e+04	2.247558984375000000e+04
4.949494898319244385e-01	8.685842000000000000e+06	5.921814375000000000e+05	5.526962500000000000e+04	2.630629296875000000e+04
5.656565427780151367e-01	6.979941500000000000e+06	2.665159250000000000e+06	1.428227656250000000e+05	3.260872265625000000e+04
6.363636255264282227e-01	3.456013250000000000e+06	9.092358000000000000e+06	2.799457812500000000e+05	5.511950000000000000e+04
7.070707082748413086e-01	5.522751875000000000e+05	1.087660700000000000e+07	4.925148750000000000e+05	6.703843750000000000e+04
7.777777910232543945e-01	8.040061718750000000e+04	1.028434100000000000e+07	1.239993625000000000e+06	9.488263281250000000e+04
8.484848737716674805e-01	1.719101757812500000e+04	8.957263000000000000e+06	2.854814750000000000e+06	1.344302812500000000e+05
9.191918969154357910e-01	8.955104492187500000e+03	5.211436500000000000e+06	5.606886000000000000e+06	2.279041093750000000e+05
9.898989796638488770e-01	9.943843750000000000e+03	1.885418750000000000e+06	7.752937000000000000e+06	5.658593750000000000e+05
1.060606002807617188e+00	7.011473144531250000e+03	4.427016875000000000e+05	5.809870000000000000e+06	8.726298750000000000e+05
1.131313085556030273e+00	7.035343750000000000e+03	2.427069218750000000e+05	5.839667000000000000e+06	1.885336500000000000e+06
1.202020168304443359e+00	6.094313476562500000e+03	9.014227343750000000e+04	3.961855750000000000e+06	2.460453500000000000e+06
1.272727251052856445e+00	3.960486328125000000e+03	1.661662500000000000e+04	1.550314875000000000e+06	3.415606000000000000e+06
1.343434333801269531e+00	3.472915039062500000e+03	9.128015625000000000e+03	5.707750000000000000e+05	3.102687750000000000e+06
1.414141416549682617e+00	4.306389648437500000e+03	1.303670605468750000e+04	5.064289687500000000e+05	2.988773500000000000e+06
1.484848499298095703e+00	5.595614257812500000e+03	2.757408984375000000e+04	4.528553437500000000e+05	1.899070125000000000e+06
1.555555582046508789e+00	5.004479492187500000e+03	3.764911718750000000e+04	3.949411250000000000e+05	9.833748750000000000e+05
1.626262664794921875e+00	4.679220703125000000e+03	5.304731250000000000e+04	5.347510625000000000e+05	6.733919375000000000e+05
1.696969747543334961e+00	2.490587890625000000e+03	5.148248046875000000e+04	3.862186875000000000e+05	2.972579062500000000e+05
1.767676711082458496e+00	2.043608154296875000e+03	5.455149609375000000e+04	3.916293125000000000e+05	2.670349687500000000e+05
1.838383793830871582e+00	2.560142822265625000e+03	5.475056250000000000e+04	2.857070625000000000e+05	1.734883125000000000e+05
1.909090876579284668e+00	1.560094482421875000e+03	3.841977343750000000e+04	1.845026093750000000e+05	1.168299453125000000e+05
1.979797959327697754e+00	2.026128295898437500e+03	3.644380078125000000e+04	1.636696093750000000e+05	1.099695859375000000e+05
2.050505161285400391e+00	2.269169189453125000e+03	1.658216015625000000e+04	7.090379687500000000e+04	6.697058593750000000e+04
2.121212005615234375e+00	3.794260009765625000e+03	2.080189843750000000e+04	6.956393750000000000e+04	6.816596875000000000e+04
2.191919088363647461e+00	5.316295898437500000e+03	1.453735937500000000e+04	5.021493750000000000e+04	6.068455078125000000e+04
2.262626171112060547e+00	8.095164062500000000e+03	8.472861328125000000e+03	3.165676171875000000e+04	5.399859375000000000e+04
2.333333253860473633e+00	5.515142578125000000e+03	4.733161132812500000e+03	1.553403320312500000e+04	3.081486132812500000e+04
2.404040336608886719e+00	3.890565185546875000e+03	3.083663574218750000e+03	8.955502929687500000e+03	1.896270898437500000e+04
2.474747419357299805e+00	4.229941894531250000e+03	1.702060302734375000e+03	6.347581054687500000e+03	1.662314062500000000e+04
2.545454502105712891e+00	4.259367187500000000e+03	3.162408691406250000e+03	7.751640136718750000e+03	1.332060156250000000e+04
2.616161584854125977e+00	3.756709228515625000e+03	2.014825805664062500e+03	5.863819335937500000e+03	9.861378906250000000e+03
2.686868667602539062e+00	4.060502441406250000e+03	2.368722167968750000e+03	6.193848144531250000e+03	7.711849121093750000e+03
2.757575750350952148e+00	3.241098632812500000e+03	2.681425537109375000e+03	6.740905761718750000e+03	7.554532226562500000e+03
2.828282833099365234e+00	5.899436523437500000e+03	2.721839843750000000e+03	4.367368652343750000e+03	4.270370605468750000e+03
2.898989915847778320e+00	3.141464355468750000e+03	1.910397338867187500e+03	3.839638671875000000e+03	3.011394775390625000e+03
2.969696998596191406e+00	3.942440673828125000e+03	2.467517578125000000e+03	3.819858154296875000e+03	2.118884277343750000e+03
3.040404081344604492e+00	4.567086914062500000e+03	1.556322143554687500e+03	1.767992553710937500e+03	9.415661010742187500e+02
3.111111164093017578e+00	3.329824462890625000e+03	2.053257568359375000e+03	2.329509765625000000e+03	1.036907104492187500e+03
3.181818246841430664e+00	3.857546875000000000e+03	1.425000244140625000e+03	1.180424560546875000e+03	5.633367919921875000e+02
3.252525329589843750e+00	1.568543334960937500e+03	1.100566650390625000e+03	1.178064086914062500e+03	5.352661743164062500e+02
3.323232412338256836e+00	3.189662597656250000e+03	8.214357910156250000e+02	5.590167846679687500e+02	2.940517883300781250e+02
3.393939495086669922e+00	2.601722167968750000e+03	4.586714172363281250e+02	2.465904235839843750e+02	1.702006072998046875e+02
3.464646577835083008e+00	2.591101806640625000e+03	2.325453796386718750e+02	1.525532684326171875e+02	1.390977020263671875e+02
3.535353422164916992e+00	1.498327880859375000e+03	1.727896118164062500e+02	7.707006072998046875e+01	4.683237457275390625e+01
3.606060504913330078e+00	5.530067138671875000e+02	6.559297180175781250e+01	4.824705505371093750e+01	2.574993515014648438e+01
3.676767587661743164e+00	5.083898925781250000e+02	3.440347671508789062e+01	3.257456207275390625e+01	1.659647178649902344e+01
3.747474670410156250e+00	4.899444274902343750e+02	9.608315277099609375e+01	3.522489547729492188e+01	1.617936515808105469e+01
3.818181753158569336e+00	1.025872436523437500e+03	1.709901885986328125e+02	3.557137680053710938e+01	2.435820388793945312e+01
3.888888835906982422e+00	7.359212646484375000e+02	1.037470474243164062e+02	4.318166732788085938e+01	2.364440917968750000e+01
3.959595918655395508e+00	7.198108520507812500e+02	1.611026306152343750e+02	5.388998031616210938e+01	3.925992202758789062e+01
4.030303001403808594e+00	9.512468719482421875e+01	4.497485351562500000e+01	5.409026718139648438e+01	2.998839187622070312e+01
4.101010322570800781e+00	4.680624694824218750e+02	2.047881469726562500e+02	6.855035400390625000e+01	2.094272804260253906e+01
4.171717166900634766e+00	7.204726409912109375e+01	5.976093673706054688e+01	3.395071411132812500e+01	1.643028831481933594e+01
4.242424011230468750e+00	4.442021484375000000e+02	1.964927062988281250e+02	4.714550018310546875e+01	2.281921577453613281e+01
4.313131332397460938e+00	4.338970947265625000e+02	3.053699951171875000e+02	9.318440246582031250e+01	2.840085792541503906e+01
4.383838176727294922e+00	4.610329818725585938e+01	1.148139419555664062e+02	7.728490447998046875e+01	2.945785713195800781e+01
4.454545497894287109e+00	7.855018615722656250e+01	1.627027587890625000e+02	8.670597839355468750e+01	3.183084678649902344e+01
4.525252342224121094e+00	1.208454589843750000e+02	3.890545043945312500e+02	1.042981262207031250e+02	3.607690048217773438e+01
4.595959663391113281e+00	1.286384277343750000e+02	3.226514587402343750e+02	1.171832733154296875e+02	6.315464019775390625e+01
4.666666507720947266e+00	2.815816307067871094e+01	2.057347869873046875e+02	9.172222137451171875e+01	3.268190765380859375e+01
4.737373828887939453e+00	2.730383872985839844e+00	7.895084381103515625e+01	5.040352249145507812e+01	2.239666748046875000e+01
4.808080673217773438e+00	1.663541913032531738e+00	3.396940002441406250e+02	1.050132369995117188e+02	5.959319305419921875e+01
4.878787994384765625e+00	2.519218996167182922e-02	1.613312339782714844e+01	3.142171287536621094e+01	1.290996456146240234e+01
4.949494838714599609e+00	1.708469539880752563e-02	1.420670318603515625e+02	1.213004684448242188e+02	2.804253578186035156e+01
5.020202159881591797e+00	1.774231195449829102e-01	2.171124114990234375e+02	5.343528366088867188e+01	3.135472679138183594e+01
5.090909004211425781e+00	2.693083286285400391e-01	5.152868652343750000e+02	1.693895263671875000e+02	2.284154701232910156e+01
5.161616325378417969e+00	1.977328956127166748e-02	3.958104133605957031e+00	9.849275588989257812e+00	5.632684230804443359e+00
5.232323169708251953e+00	1.048459112644195557e-01	5.094483947753906250e+01	9.413195800781250000e+01	1.390587902069091797e+01
5.303030490875244141e+00	3.817678242921829224e-02	8.225198364257812500e+01	1.912682952880859375e+02	3.752521896362304688e+01
5.373737335205078125e+00	5.554781523642304819e-07	1.234076044056564569e-04	1.090495109558105469e+00	6.037113666534423828e-01
5.444444656372070312e+00	6.617420876864343882e-05	2.331496775150299072e-01	8.539560317993164062e+00	5.481886386871337891e+00
5.515151500701904297e+00	1.325868943240493536e-04	1.572062492370605469e+00	1.341492271423339844e+01	1.999218702316284180e+00
5.585858821868896484e+00	3.027007551281712949e-05	2.706557512283325195e+00	6.281995849609375000e+02	9.339509887695312500e+02
5.656565666198730469e+00	4.625073052011430264e-04	2.509402856230735779e-02	9.126012921333312988e-01	7.130961418151855469e-01
5.727272510528564453e+00	1.642045754124410450e-05	8.181307464838027954e-03	2.274258613586425781e+00	2.913721561431884766e+00
5.797979831695556641e+00	3.134223516099154949e-05	4.379041783977299929e-04	8.251069812104105949e-04	4.344475164543837309e-04
5.868686676025390625e+00	6.353678827508701943e-07	3.423901262067374773e-06	8.221533894538879395e-02	3.234074354171752930e+00
5.939393997192382812e+00	8.660077810418442823e-07	4.549717232293915004e-06	2.914102971553802490e-01	3.554327785968780518e-01
6.010100841522216797e+00	1.501145306974649429e-04	5.267936503514647484e-04	3.296555252745747566e-03	1.313211675733327866e-02
6.080808162689208984e+00	1.971266101463697851e-05	2.717027673497796059e-04	5.104877054691314697e-04	3.070332168135792017e-04
6.151515007019042969e+00	8.967691659927368164e-02	1.746702343225479126e-01	4.983766973018646240e-01	2.970031462609767914e-02
6.222222328186035156e+00	2.213513289461843669e-05	2.928417234215885401e-04	5.392071907408535480e-04	3.224836837034672499e-04
6.292929172515869141e+00	1.809195600799284875e-05	2.644153719302266836e-04	5.151883233338594437e-04	3.109709941782057285e-04
6.363636493682861328e+00	2.194608896388672292e-05	2.739295305218547583e-04	5.197262507863342762e-04	3.167067188769578934e-04
6.434343338012695312e+00	7.396074943244457245e-04	2.432839828543365002e-04	2.177341841161251068e-03	2.379224635660648346e-03
6.505050659179687500e+00	2.109707020281348377e-05	2.802610688377171755e-04	5.026690778322517872e-04	3.086661745328456163e-04
6.575757503509521484e+00	2.053760908893309534e-05	2.805752446874976158e-04	5.013730842620134354e-04	3.009861684404313564e-04
6.646464824676513672e+00	2.300965934409759939e-05	2.659281599335372448e-04	5.185828194953501225e-04	3.151902055833488703e-04
6.717171669006347656e+00	2.169073013646993786e-05	3.007079067174345255e-04	5.208953516557812691e-04	3.049680963158607483e-04
6.787878990173339844e+00	2.114898961735889316e-05	2.768497215583920479e-04	5.639496375806629658e-04	3.354047948960214853e-04
6.858585834503173828e+00	2.199600385210942477e-05	2.922308049164712429e-04	5.049247993156313896e-04	2.963366277981549501e-04
6.929293155670166016e+00	1.677698310231789947e-05	2.756543981377035379e-04	5.276184529066085815e-04	2.980908611789345741e-04
7.000000000000000000e+00	1.819656972656957805e-05	2.732744324021041393e-04	5.251115071587264538e-04	3.106129879597574472e-04
