# Measured from the monopole of the 2pcf with FKP between 30 and 65 Mpc/h
# Based on Y3/LSS/loa-v1/LSScats/v2/nonKP
# zmin, zmax, zeff, b1, b1_err
0.800 0.900 0.852 1.087 0.031
0.900 1.000 0.950 1.188 0.026
1.000 1.100 1.049 1.165 0.032
1.100 1.200 1.149 1.333 0.024
1.200 1.300 1.249 1.369 0.026
1.300 1.400 1.349 1.404 0.032
1.400 1.500 1.448 1.475 0.038
1.500 1.600 1.548 1.575 0.048
