# Measured from the monopole of the 2pcf with FKP between 30 and 65 Mpc/h
# Based on Y3/LSS/loa-v1/LSScats/v2/nonKP
# zmin, zmax, zeff, b1, b1_err
0.300 0.400 0.354 1.615 0.036
0.400 0.500 0.450 1.811 0.033
0.500 0.600 0.550 1.906 0.029
0.600 0.700 0.650 1.980 0.024
0.700 0.800 0.750 2.123 0.026
0.800 0.900 0.849 2.153 0.027
0.900 1.000 0.946 2.223 0.031
1.000 1.100 1.041 2.277 0.047
1.100 1.200 1.135 2.089 0.092
