# Measured from the monopole of the 2pcf with FKP between 30 and 65 Mpc/h
# Based on Y3/LSS/loa-v1/LSScats/v2/nonKP
# zmin, zmax, zeff, b1, b1_err
0.800 0.900 0.851 1.115 0.028
0.900 1.000 0.949 1.194 0.026
1.000 1.100 1.048 1.206 0.027
1.100 1.200 1.149 1.342 0.026
1.200 1.300 1.249 1.395 0.025
1.300 1.400 1.349 1.447 0.030
1.400 1.500 1.448 1.493 0.041
1.500 1.600 1.548 1.588 0.048
